"Sex of employee";"Type of employment contract";"Other characteristics employee";"Industry class / branch (SIC2008)";"Periods";"Employment/Jobs (x 1 000)"
"Total";"Total";"35 to 39 years";"M-N Business services";"2020";"     152"
"Total";"Total";"35 to 39 years";"M Other specialised business services";"2020";"      60"
"Total";"Total";"35 to 39 years";"N Renting and other business support";"2020";"      92"
"Total";"Total";"35 to 39 years";"O-U Noncommercial services";"2020";"     280"
"Total";"Total";"35 to 39 years";"O-Q Government and care";"2020";"     256"
"Total";"Total";"35 to 39 years";"O Public administration and services";"2020";"      55"
"Total";"Total";"35 to 39 years";"P Education";"2020";"      63"
"Total";"Total";"35 to 39 years";"Q Health and social work activities";"2020";"     138"
"Total";"Total";"35 to 39 years";"R-U Culture, recreation, other services";"2020";"      24"
"Total";"Total";"35 to 39 years";"R Culture, sports and recreation";"2020";"      11"
"Total";"Total";"35 to 39 years";"S Other service activities";"2020";"      13"
"Total";"Total";"40 to 44 years";"A-U All economic activities";"2020";"     780"
"Total";"Total";"40 to 44 years";"A-F Agriculture and industry";"2020";"     131"
"Total";"Total";"40 to 44 years";"A Agriculture, forestry and fishing";"2020";"       8"
"Total";"Total";"40 to 44 years";"B-F Manifacturing and energy";"2020";"     123"
"Total";"Total";"40 to 44 years";"B-E Industry (no construction), energy";"2020";"      85"
"Total";"Total";"40 to 44 years";"B Mining and quarrying ";"2020";"       1"
"Total";"Total";"40 to 44 years";"C Manufacturing";"2020";"      77"
"Total";"Total";"40 to 44 years";"D Energy supply";"2020";"       3"
"Total";"Total";"40 to 44 years";"E Water supply and waste management";"2020";"       4"
"Total";"Total";"40 to 44 years";"F Construction";"2020";"      38"
"Total";"Total";"40 to 44 years";"G-N Commercial services";"2020";"     375"
"Total";"Total";"40 to 44 years";"G-I Trade, transport, hotels, catering";"2020";"     162"
"Total";"Total";"40 to 44 years";"G Wholesale and retail trade";"2020";"     106"
"Total";"Total";"40 to 44 years";"H Transportation and storage";"2020";"      36"
"Total";"Total";"40 to 44 years";"I Accommodation and food serving";"2020";"      20"
"Total";"Total";"40 to 44 years";"J Information and communication";"2020";"      31"
"Total";"Total";"40 to 44 years";"K Financial institutions";"2020";"      34"
"Total";"Total";"40 to 44 years";"L Renting, buying, selling real estate";"2020";"       8"
"Total";"Total";"40 to 44 years";"M-N Business services";"2020";"     140"
"Total";"Total";"40 to 44 years";"M Other specialised business services";"2020";"      56"
"Total";"Total";"40 to 44 years";"N Renting and other business support";"2020";"      84"
"Total";"Total";"40 to 44 years";"O-U Noncommercial services";"2020";"     274"
"Total";"Total";"40 to 44 years";"O-Q Government and care";"2020";"     251"
"Total";"Total";"40 to 44 years";"O Public administration and services";"2020";"      59"
"Total";"Total";"40 to 44 years";"P Education";"2020";"      60"
"Total";"Total";"40 to 44 years";"Q Health and social work activities";"2020";"     132"
"Total";"Total";"40 to 44 years";"R-U Culture, recreation, other services";"2020";"      22"
"Total";"Total";"40 to 44 years";"R Culture, sports and recreation";"2020";"      10"
"Total";"Total";"40 to 44 years";"S Other service activities";"2020";"      12"
